Survived,Pclass,Parch,Fare,has_cabin,Sex_male,Embarked_Q,Embarked_S,IsAlone,AgeGroup,Title
0,3,0,7.25,0,True,False,True,0,2,0
1,1,0,65.6563,1,False,False,False,0,3,2
1,3,0,7.925,0,False,False,True,1,2,1
1,1,0,53.1,1,False,False,True,0,2,2
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,8.4583,0,True,True,False,1,2,0
0,1,0,51.8625,1,True,False,True,1,3,0
0,3,0,21.075,0,True,False,True,0,0,3
1,3,0,11.1333,0,False,False,True,1,2,2
1,2,0,30.0708,0,False,False,False,0,1,2
1,3,0,16.7,1,False,False,True,0,0,1
1,1,0,26.55,1,False,False,True,1,3,1
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,31.275,0,True,False,True,0,3,0
0,3,0,7.8542,0,False,False,True,1,1,1
1,2,0,16.0,0,False,False,True,1,3,2
0,3,0,29.125,0,True,True,False,0,0,3
1,2,0,13.0,0,True,False,True,1,2,0
0,3,0,18.0,0,False,False,True,0,2,2
1,3,0,7.225,0,False,False,False,1,2,2
0,2,0,26.0,0,True,False,True,1,2,0
1,2,0,13.0,1,True,False,True,1,2,0
1,3,0,8.0292,0,False,True,False,1,1,1
1,1,0,35.5,1,True,False,True,1,2,0
0,3,0,21.075,0,False,False,True,0,0,1
1,3,0,31.3875,0,False,False,True,0,3,2
0,3,0,7.225,0,True,False,False,1,2,0
0,1,0,65.6563,1,True,False,True,0,2,0
1,3,0,7.8792,0,False,True,False,1,2,1
0,3,0,7.8958,0,True,False,True,1,2,0
0,1,0,27.7208,0,True,False,False,1,3,4
1,1,0,65.6563,1,False,False,False,0,2,2
1,3,0,7.75,0,False,True,False,1,2,1
0,2,0,10.5,0,True,False,True,1,3,0
0,1,0,65.6563,0,True,False,False,0,2,0
0,1,0,52.0,0,True,False,True,0,3,0
1,3,0,7.2292,0,True,False,False,1,2,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,18.0,0,False,False,True,0,1,1
1,3,0,11.2417,0,False,False,False,0,1,1
0,3,0,9.475,0,False,False,True,0,3,2
0,2,0,21.0,0,False,False,True,0,2,2
0,3,0,7.8958,0,True,False,False,1,2,0
1,2,0,41.5792,0,False,False,False,0,0,1
1,3,0,7.8792,0,False,True,False,1,2,1
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,15.5,0,True,True,False,0,2,0
1,3,0,7.75,0,False,True,False,1,2,1
0,3,0,21.6792,0,True,False,False,0,2,0
0,3,0,17.8,0,False,False,True,0,1,2
0,3,0,39.6875,0,True,False,True,0,0,3
0,3,0,7.8,0,True,False,True,1,2,0
1,1,0,65.6563,1,False,False,False,0,3,2
1,2,0,26.0,0,False,False,True,0,2,2
0,1,0,61.9792,1,True,False,False,1,3,0
1,1,0,35.5,1,True,False,True,1,3,0
1,2,0,10.5,0,False,False,True,1,2,1
0,3,0,7.2292,0,True,False,False,1,2,0
1,2,0,27.75,0,False,False,True,0,0,1
0,3,0,46.9,0,True,False,True,0,0,3
0,3,0,7.2292,0,True,False,False,1,2,0
0,1,0,65.6563,1,True,False,True,0,3,0
0,3,0,27.9,0,True,False,True,0,0,3
0,1,0,27.7208,0,True,False,False,1,3,0
1,3,0,15.2458,0,True,False,False,0,2,3
1,2,0,10.5,1,False,False,True,1,2,2
0,3,0,8.1583,0,True,False,True,1,2,0
1,3,0,7.925,0,False,False,True,0,1,1
0,3,0,8.6625,0,True,False,True,0,2,0
0,2,0,10.5,0,True,False,True,1,2,0
0,3,0,46.9,0,False,False,True,0,1,1
0,2,0,65.6563,0,True,False,True,1,2,0
0,3,0,14.4542,0,True,False,False,0,2,0
1,3,0,56.4958,0,True,False,True,1,2,0
0,3,0,7.65,1,True,False,True,1,2,0
0,3,0,7.8958,0,True,False,True,1,2,0
0,3,0,8.05,0,True,False,True,1,2,0
1,2,0,29.0,0,True,False,True,1,0,3
1,3,0,12.475,0,False,False,True,1,2,1
0,3,0,9.0,0,True,False,True,1,2,0
1,3,0,9.5,0,True,False,True,1,2,0
1,3,0,7.7875,0,False,True,False,1,2,1
0,1,0,47.1,0,True,False,True,1,2,0
1,2,0,10.5,0,False,False,True,1,1,1
1,3,0,15.85,0,False,False,True,0,2,2
0,3,0,34.375,0,True,False,True,0,1,0
0,3,0,8.05,0,True,False,True,1,2,0
1,1,0,65.6563,1,False,False,True,0,2,1
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,8.05,0,True,False,True,1,2,0
0,3,0,7.8542,0,True,False,True,1,2,0
0,1,0,61.175,1,True,False,True,0,3,0
0,3,0,20.575,0,True,False,True,0,2,0
0,3,0,7.25,0,True,False,True,1,3,0
0,3,0,8.05,0,True,False,True,1,2,0
0,1,0,34.6542,1,True,False,False,1,3,0
1,1,0,63.3583,1,True,False,False,1,2,0
1,2,0,23.0,0,False,False,True,1,2,2
0,2,0,26.0,0,True,False,True,0,2,0
0,3,0,7.8958,0,False,False,True,1,2,1
0,3,0,7.8958,0,True,False,True,1,2,0
0,1,0,65.6563,1,True,False,True,1,2,0
0,3,0,8.6542,0,True,False,True,1,2,0
